data;normal;normal com dummies;diferença em módulo;variação percentual
01/11/2014;0,168706518;0,20028229;0,031575772;15,76563369
01/12/2014;0,179462528;0,014707326;-0,164755202;-1120,225443
01/01/2015;2,115297905;2,211621041;0,096323136;4,355318289
01/02/2015;1,567050305;0,516369587;-1,050680718;-203,4745548
01/03/2015;2,140180805;1,571584438;-0,568596367;-36,17981657
01/04/2015;-0,138509457;-1,621677918;-1,483168461;91,45887999
01/05/2015;0,865099701;0,750795012;-0,114304689;-15,22448704
01/06/2015;1,906461653;1,144813903;-0,76164775;-66,5302673
01/07/2015;0,885221826;-0,271692577;-1,156914402;425,8174501
01/08/2015;-0,573269505;-1,507574335;-0,93430483;61,97404721
01/09/2015;-0,125207599;-0,226866173;-0,101658573;44,80993
01/10/2015;0,997214548;0,67127755;-0,325936997;-48,55472928
01/11/2015;1,01922342;0,341959964;-0,677263455;-198,053435
01/12/2015;0,352963967;-0,40377721;-0,756741177;187,4155247
01/01/2016;1,743621843;1,427513713;-0,31610813;-22,14396448
01/02/2016;0,663756461;-0,585847203;-1,249603664;213,2985627
01/03/2016;-0,923078359;-1,743899795;-0,820821436;47,06815371
01/04/2016;-0,339444701;-0,324855426;0,014589275;-4,491005583
01/05/2016;0,426933117;0,183153876;-0,243779241;-133,1007817
01/06/2016;-0,095377531;-0,509602262;-0,414224731;81,28392704
01/07/2016;0,385865093;0,380741709;-0,005123384;-1,345632451
01/08/2016;-0,12645112;-0,573355983;-0,446904863;77,94544337
01/09/2016;-1,237161551;-1,358148645;-0,120987094;8,908236559
01/10/2016;-0,457346904;0,008200469;0,465547373;5677,082595
01/11/2016;-1,545659339;-1,626249036;-0,080589697;4,955556953
01/12/2016;-1,181760224;-0,476462705;0,705297519;-148,0278543
01/01/2017;-1,659669586;-1,307596735;0,352072852;-26,9251859
01/02/2017;-0,478050944;0,559604197;1,037655141;185,4266187
01/03/2017;-0,626776169;-0,336850513;0,289925656;-86,06953089
01/04/2017;-1,31603453;-0,751052705;0,564981825;-75,2253232
01/05/2017;0,116417985;1,152993955;1,036575971;89,90298397
01/06/2017;-1,640031811;-1,597149827;0,042881984;-2,684906767
01/07/2017;0,545591898;1,988126714;1,442534816;72,55748871
01/08/2017;-0,482493916;-0,615349742;-0,132855826;21,59029524
