;IPC;mu;gamma;f2;sigma;epsilon;score
jul/06;0,06;0,0525782;-0,069421768;-1,689479434;0,184615604;0,416235499;0,075987406
ago/06;0,16;0,083196442;-0,065159534;-1,689479434;0,184615604;0,768965838;0,13670609
set/06;0,19;0,138280572;-0,148265262;-1,689479434;0,184615604;1,083249119;0,1858055
out/06;0,14;0,213148739;-0,170876064;-1,689479434;0,184615604;0,529355717;0,095978267
nov/06;0,24;0,251822066;-0,050405182;-1,689479434;0,184615604;0,208991634;0,038473832
dez/06;0,63;0,267324649;0,267903096;-1,689479434;0,184615604;0,513349106;0,093175409
jan/07;0,69;0,304868597;0,447869996;-1,689479434;0,184615604;-0,339833646;-0,062270908
fev/07;0,34;0,279777259;-0,097542726;-1,689479434;0,184615604;0,854561934;0,150612531
mar/07;0,48;0,340464827;0,155943413;-1,689479434;0,184615604;-0,088877863;-0,016399815
abr/07;0,31;0,333856712;0,126198474;-1,689479434;0,184615604;-0,812797964;-0,143873838
mai/07;0,25;0,275884421;0,08581934;-1,689479434;0,184615604;-0,605061326;-0,109106092
jun/07;0,42;0,23192139;0,053437061;-1,689479434;0,184615604;0,729307529;0,130139937
jul/07;0,28;0,284359765;-0,10332822;-1,689479434;0,184615604;0,536078498;0,097152739
ago/07;0,42;0,323506332;-0,170325512;-1,689479434;0,184615604;1,445268846;0,234908751
set/07;0,23;0,418160083;-0,302886739;-1,689479434;0,184615604;0,62143532;0,111915922
out/07;0,13;0,463255302;-0,224364857;-1,689479434;0,184615604;-0,589822546;-0,106481358
nov/07;0,27;0,420349877;-0,054780608;-1,689479434;0,184615604;-0,517666258;-0,093932261
dez/07;0,7;0,382500964;0,184072457;-1,689479434;0,184615604;0,722726447;0,129043101
jan/08;0,97;0,434497381;0,555542055;-1,689479434;0,184615604;-0,108546817;-0,020024093
fev/08;0;0,426428906;-0,24293016;-1,689479434;0,184615604;-0,993950361;-0,172420896
mar/08;0,45;0,35695391;0,179887993;-1,689479434;0,184615604;-0,470393083;-0,085609983
abr/08;0,72;0,322458362;0,297251218;-1,689479434;0,184615604;0,54323913;0,098401899
mai/08;0,87;0,362108264;0,239251352;-1,689479434;0,184615604;1,455133689;0,236125326
jun/08;0,77;0,45725222;-0,047536772;-1,689479434;0,184615604;1,951539014;0,288763626
jul/08;0,53;0,573606166;-0,148452485;-1,689479434;0,184615604;0,567916884;0,102692328
ago/08;0,14;0,614984846;-0,381399192;-1,689479434;0,184615604;-0,506921695;-0,092047396
set/08;-0,09;0,577895418;-0,398230459;-1,689479434;0,184615604;-1,460683462;-0,236806844
out/08;0,47;0,482476853;-0,090854542;-1,689479434;0,184615604;0,424545316;0,077469627
nov/08;0,56;0,513692339;0,08209011;-1,689479434;0,184615604;-0,193821369;-0,035695242
dez/08;0,52;0,499309356;0,05729608;-1,689479434;0,184615604;-0,198279207;-0,036512083
jan/09;0,83;0,484597236;0,592269322;-1,689479434;0,184615604;-1,337192274;-0,221150107
fev/09;0,21;0,395487371;-0,042257616;-1,689479434;0,184615604;-0,775826922;-0,137834359
mar/09;0,61;0,339948618;0,279114877;-1,689479434;0,184615604;-0,049093875;-0,009062075
abr/09;0,47;0,33629716;0,18177103;-1,689479434;0,184615604;-0,260369056;-0,0478572
mai/09;0,39;0,317013658;-0,057428945;-1,689479434;0,184615604;0,706415301;0,126315942
jun/09;0,12;0,367911198;-0,418902297;-1,689479434;0,184615604;0,926200689;0,161955793
jul/09;0,34;0,433169403;-0,307684179;-1,689479434;0,184615604;1,16195366;0,19719986
ago/09;0,2;0,512628794;-0,295727203;-1,689479434;0,184615604;-0,091550177;-0,016892384
set/09;0,18;0,505822205;-0,130015868;-1,689479434;0,184615604;-1,060616397;-0,182458326
out/09;0,01;0,432302743;-0,197035501;-1,689479434;0,184615604;-1,220196116;-0,205380875
